step,training_loss,evaluation_loss
5000,1.0411,1.1515773535
25000,0.8380,0.9326260686
50000,0.8012,0.8747744560
75000,0.7876,0.8544443250
100000,0.7646,0.8394752741
125000,0.7533,0.8187407851
150000,0.7189,0.8161862493
175000,0.7156,0.7982900739
200000,0.7083,0.7891631722
225000,0.7105,0.7852017879
250000,0.7056,0.7855069637
275000,0.7061,0.7791435122
300000,0.7147,0.7838295102
325000,0.7268,0.7852945924
350000,0.7343,0.7781209946
375000,0.7107,0.7730252147
400000,0.7050,0.7662954330
425000,0.7096,0.7620427012
450000,0.6970,0.7574612498
465000,0.6959,0.7555884719

